Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/2019,22145,44131,297823,2429,49
1/2/2019,38249,58975,297908,1062,36
1/3/2019,42181,62500,297976,969,31
1/4/2019,44420,65739,298017,1173,33
1/5/2019,17636,24326,298048,462,8
1/6/2019,31764,50481,298094,1711,31
1/7/2019,36928,52310,298152,514,18
1/8/2019,41728,60469,298218,654,23
1/9/2019,44882,63480,298263,646,23
1/10/2019,39449,53225,298299,478,13
1/11/2019,33196,44226,298331,465,23
1/12/2019,25431,35133,298361,772,26
1/13/2019,23020,33018,298399,700,18
1/14/2019,35408,48021,298439,402,9
1/15/2019,39538,54751,298470,511,19
1/16/2019,40854,56553,298510,513,7
1/17/2019,39417,53430,298546,463,14
1/18/2019,34478,47215,298574,542,27
1/19/2019,23933,34580,298595,865,28
1/20/2019,14440,19131,298616,368,8
1/21/2019,10392,11911,298632,141,5
1/22/2019,28913,37788,298665,315,14
1/23/2019,42028,59442,298692,526,10
1/24/2019,20328,27931,298721,260,7
1/25/2019,39298,54567,298748,621,21
1/26/2019,26607,38634,298778,933,18
1/27/2019,30338,48280,298828,1510,19
1/28/2019,36173,49109,298878,448,13
1/29/2019,31355,42066,298919,341,12
1/30/2019,25496,33178,298947,263,8
1/31/2019,18882,22917,298975,186,8
2/1/2019,25289,31752,298998,255,11
2/2/2019,22280,30802,299032,627,19
2/3/2019,32274,52757,299103,1743,24
2/4/2019,47049,73262,299172,1180,42
2/5/2019,54710,87917,299249,1770,42
2/6/2019,39616,55696,299296,754,27
2/7/2019,43840,62728,299341,765,22
2/8/2019,36964,52442,299383,864,22
2/9/2019,24041,33607,299409,811,10
2/10/2019,24434,35873,299449,935,6
2/11/2019,39197,54362,299493,563,20
2/12/2019,16044,22190,299521,150,4
2/13/2019,35523,48870,299551,439,21
2/14/2019,42313,61381,299589,773,26
2/15/2019,47524,74286,299633,1590,58
2/16/2019,31347,52760,299683,2030,58
2/17/2019,24287,39660,299711,1439,30
2/18/2019,26176,37500,299757,810,17
2/19/2019,35226,49024,299810,595,10
2/20/2019,20694,28763,299835,221,15
2/21/2019,40082,60375,299871,961,37
2/22/2019,42338,61956,299913,1097,49
2/23/2019,31956,49887,299956,1635,28
2/24/2019,24503,37473,299993,992,19
2/25/2019,34736,47207,300029,495,14
2/26/2019,38126,52805,300067,524,23
2/27/2019,37028,48666,300097,464,27
2/28/2019,38784,53031,300157,652,30
3/1/2019,30242,41583,300183,522,26
3/2/2019,18001,27381,300213,570,25
3/3/2019,23240,35764,300264,1115,22
3/4/2019,28424,39154,300319,563,23
3/5/2019,37103,50155,300367,552,24
3/6/2019,33287,42845,300409,376,27
3/7/2019,35913,46582,300450,468,15
3/8/2019,40416,55748,300503,852,32
3/9/2019,38929,68739,300574,3010,35
3/10/2019,18897,28056,300611,662,16
3/11/2019,52412,80705,300691,1749,56
3/12/2019,47214,66518,300757,1003,40
3/13/2019,50121,71556,300825,1194,42
3/14/2019,57476,86864,300904,1826,82
3/15/2019,57517,95073,300987,2843,119
3/16/2019,42144,74307,301086,3369,97
3/17/2019,36826,64440,301187,2755,73
3/18/2019,46535,68775,301278,1361,54
3/19/2019,52997,78320,301381,1602,49
3/20/2019,55396,83442,301476,1723,58
3/21/2019,21248,27005,301520,342,14
3/22/2019,35477,49691,301579,1076,51
3/23/2019,37379,61407,301671,2693,74
3/24/2019,50318,100843,301827,5896,79
3/25/2019,53463,79824,301952,1562,64
3/26/2019,55421,81425,302083,1715,49
3/27/2019,54483,78975,302176,1583,56
3/28/2019,58538,87465,302430,1966,87
3/29/2019,59324,91975,302587,2573,103
3/30/2019,66672,144759,302941,9151,135
3/31/2019,32768,52486,303060,1916,52
7/1/2018,45265,120484,274813,4209,211
7/2/2018,58633,130122,275016,2702,241
7/3/2018,54882,113998,275157,2358,199
7/4/2018,48368,136287,275304,5662,250
7/5/2018,59471,133659,275487,3344,264
7/6/2018,49504,111660,275614,2650,189
7/7/2018,60916,173852,275793,7284,349
7/8/2018,60486,171826,275988,6667,310
7/9/2018,70063,153650,276203,3103,283
7/10/2018,72501,147441,276399,2999,227
7/11/2018,73011,163349,276553,3049,170
7/12/2018,74857,161182,276703,3520,231
7/13/2018,72113,156285,276858,3998,294
7/14/2018,62556,157266,277000,7241,334
7/15/2018,52295,132234,277133,5121,248
7/16/2018,67072,146307,277344,3101,278
7/17/2018,48495,97913,277466,1558,129
7/18/2018,75706,169481,277703,3578,247
7/19/2018,78004,141327,277891,3938,280
7/20/2018,74539,136511,278052,4590,275
7/21/2018,53651,114977,278195,6266,309
7/22/2018,44284,87253,278338,4316,244
7/23/2018,53074,88170,278458,2277,152
7/24/2018,69754,117924,278651,2957,162
7/25/2018,42988,66587,278742,1474,124
7/26/2018,71065,122885,278874,3321,252
7/27/2018,49224,82987,278993,2526,251
7/28/2018,61543,129505,279147,7004,361
7/29/2018,63472,137343,279321,7244,250
7/30/2018,69512,123639,279509,3490,333
7/31/2018,76253,134233,279702,3637,246
8/1/2018,64467,106881,279888,2673,185
8/2/2018,69711,118282,280110,2998,217
8/3/2018,61962,105765,280279,3145,247
8/4/2018,51200,104541,280498,5352,198
8/5/2018,58379,122656,280721,6289,309
8/6/2018,65686,112585,280922,3022,281
8/7/2018,64351,106678,281097,2640,201
8/8/2018,70577,120473,281275,2911,267
8/9/2018,71976,124150,281441,3379,238
8/10/2018,69617,123534,281572,4266,280
8/11/2018,36607,69505,281689,2994,141
8/12/2018,59834,125265,281881,6407,281
8/13/2018,44273,70501,281991,1563,82
8/14/2018,63733,107144,282169,2592,211
8/15/2018,73124,128453,282317,3565,266
8/16/2018,70825,123444,282471,3511,276
8/17/2018,63316,109405,282583,3563,232
8/18/2018,57284,125508,282795,6672,351
8/19/2018,45874,86651,282943,3926,155
8/20/2018,67589,118793,283162,3312,224
8/21/2018,75214,132261,283358,3683,257
8/22/2018,72614,125978,283543,3366,225
8/23/2018,73877,130310,283720,3975,331
8/24/2018,72894,132952,283884,4794,320
8/25/2018,64683,140537,284066,7535,345
8/26/2018,60954,132223,284268,6928,302
8/27/2018,67630,116967,284457,3350,242
8/28/2018,66638,110486,284667,2814,150
8/29/2018,65903,107006,284791,2766,171
8/30/2018,67900,113385,284938,3218,164
8/31/2018,58922,97818,285087,3186,180
9/1/2018,54318,116904,285245,6711,439
9/2/2018,60828,140923,285368,5562,292
9/3/2018,55067,117164,285609,6239,279
9/4/2018,68655,114264,285867,2793,215
9/5/2018,74981,124919,286102,2934,191
9/6/2018,70264,113123,286304,2678,207
9/7/2018,74586,127470,286475,3523,227
9/8/2018,58284,111254,286637,5442,270
9/9/2018,19950,30544,286752,895,16
9/10/2018,23949,32472,286847,463,26
9/11/2018,66552,109380,286985,2456,193
9/12/2018,53241,82748,287120,1650,115
9/13/2018,74054,123401,287262,2874,197
9/14/2018,74330,128288,287412,3623,298
9/15/2018,71185,149524,287622,7570,353
9/16/2018,69515,150281,287897,7410,270
9/17/2018,71340,118809,288137,2914,162
9/18/2018,53077,82768,288266,1433,74
9/19/2018,74372,129089,288450,3529,290
9/20/2018,76803,129385,288599,3130,235
9/21/2018,74940,128273,288719,3677,224
9/22/2018,69133,142121,289160,7511,298
9/23/2018,55494,104944,289370,4716,184
9/24/2018,71631,115888,289524,2615,289
9/25/2018,25430,35795,289591,506,65
9/26/2018,68007,110772,289698,2423,296
9/27/2018,75370,126480,289829,3044,399
9/28/2018,57230,90249,289911,1986,296
9/29/2018,69321,145920,290170,6960,906
9/30/2018,66224,139423,290467,6367,675
4/1/2019,51399,75072,303223,1466,76
4/2/2019,57903,83399,303386,1483,73
4/3/2019,67924,108780,303552,3013,79
4/4/2019,66403,104268,303699,2633,87
4/5/2019,34470,46930,303766,812,46
4/6/2019,66532,143054,303958,8852,139
4/7/2019,64713,138291,304216,8191,87
